accept,"Indicates that that the actor has accepted the object. For instance, a person accepting an award, or accepting an assignment.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Sally""},
    ""verb"": ""accept"",
    ""object"": {
      ""objectType"": ""job"", 
      ""displayName"": ""Director of Marketing""},
    ""title"": ""Sally accepted the Director of Marketing job.""
  }
      "
access,"Indicates that the actor has accessed the object. For instance, a person accessing a room, or accessing a file.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Joe""},
    ""verb"": ""access"",
    ""object"": {
      ""objectType"": ""file"", 
      ""displayName"": ""4Q2012 Sales Forecast.xls""},
    ""published"": ""2012-12-12T12:12:12Z"",
    ""title"": ""Joe accessed the file \""4Q2012 Sales Forecast.xls\""""
  }
      "
acknowledge,Indicates that the actor has acknowledged the object. This effectively signals that the actor is aware of the object's existence.,"  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Sally""},
    ""verb"": ""acknowledge"",
    ""object"": {
      ""objectType"": ""issue"", 
      ""displayName"": ""#123: There is a problem with the build""},
    ""Sally acknowledged Issue #123""
  }
      "
add,"Indicates that the actor has added the object to the target. For instance, adding a photo to an album.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Joe""},
    ""verb"": ""add"",
    ""object"": {
      ""objectType"": ""image"", 
      ""displayName"": ""My cat"", 
      ""fullImage"": {
        ""url"": ""http://example.org/cat.jpg""
      }
    },
    ""target"": {
      ""objectType"": ""collection"",
      ""displayName"": ""Joe's Photo Album"",
      ""objectTypes"": [""image""]
    }
  }
      "
agree,"Indicates that the actor agrees with the object. For example, a person agreeing with an argument, or expressing agreement with a particular issue.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Sally""},
    ""verb"": ""agree"",
    ""object"": {
      ""objectType"": ""article"", 
      ""displayName"": ""Some Random Article Online""}
  }
      "
append,"Indicates that the actor has appended the object to the target. For instance, a person appending a new record to a database.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Joe""},
    ""verb"": ""append"",
    ""object"": {
      ""content"": ""This is some text""
    }
    ""target"": {
      ""objectType"": ""file"", 
      ""displayName"": ""log.txt""}
  }
      "
approve,"Indicates that the actor has approved the object. For instance, a manager might approve a travel request.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Sally""},
    ""verb"": ""approve"",
    ""object"": {
      ""objectType"": ""task"", 
      ""actor"": {""displayName"": ""Joe""},
      ""verb"": ""join"",
      ""object"": {
        ""objectType"":""group"", 
        ""displayName"": ""Administrators""}
    }
  }
      "
archive,Indicates that the actor has archived the object.,"  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Joe""},
    ""verb"": ""archive"",
    ""object"": {
      ""objectType"": ""file"", 
      ""displayName"": ""4Q2012 Sales Forecast.xls""}
  }
      "
assign,Indicates that the actor has assigned the object to the target.,"  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Sally""},
    ""verb"": ""assign"",
    ""object"": {
      ""objectType"": ""issue"", 
      ""displayName"": ""Issue #123: Some Issue""},
    ""target"": {
      ""objectType"": ""person"",
      ""displayName"": ""Joe""
    },
    ""title"": ""Sally assigned Issue #123 to Joe""
  }
      "
at,"Indicates that the actor is currently located at the object. For instance, a person being at a specific physical location.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Joe""},
    ""verb"": ""at"",
    ""object"": {
      ""objectType"": ""place"",
      ""displayName"": ""Acme, Co.""
    }
  }
      "
attach,"Indicates that the actor has attached the object to the target.For instance, a person attaching a file to a wiki page or an email.","  {
    ""actor"": {
      ""objectType"": ""person"", 
      ""displayName"": ""Sally""},
    ""verb"": ""attach"",
    ""object"": {
      ""objectType"": ""binary"",
      ""data"": ""dGhpcyBpcyB1bmNvbXByZXNzZWQgZGF0YQo=""
    },
    ""target"": {
      ""objectType"": ""issue"",
      ""displayName"": ""Issue #123""
    },
    ""title"": ""Sally added an attachment to Issue #123""
  }
      "
